lat,lon,total_pm25_emissions,HTAPv3_1_International_Shipping,HTAPv3_2_1_Domestic_Aviation,HTAPv3_2_2_International_Aviation,HTAPv3_3_Energy,HTAPv3_4_1_Industry,HTAPv3_4_2_Fugitive,HTAPv3_4_3_Solvents,HTAPv3_5_1_Road_Transport,HTAPv3_5_2_Brake_and_Tyre_wear,HTAPv3_5_3_Domestic_shipping,HTAPv3_5_4_Other_ground_transport,HTAPv3_6_Residential,HTAPv3_7_Waste,HTAPv3_8_1_Agricultural_waste_burning,HTAPv3_8_2_Agriculture_livestock,HTAPv3_8_3_Agriculture_crops
12.55,77.05,197.19299168355064,0.0,0.03994055464863777,0.0,9.954432487487793,27.863555908203125,8.33743667602539,0.0013819740852341056,16.141681671142578,0.6459822058677673,0.0,0.313888818025589,113.52669525146484,7.251923670992255e-05,18.70815658569336,0.35348284244537354,1.3062841892242432
12.55,77.15,185.22360932310767,0.0,0.0,0.0,9.954432487487793,27.863555908203125,8.33743667602539,0.00023087882436811924,16.141681671142578,0.0,0.0,0.313888818025589,113.52669525146484,1.1110871128039435e-05,7.8878679275512695,0.8556060194969177,0.3422025740146637
12.55,77.25,173.9781389379947,0.0,0.008557655848562717,0.0,10.524277687072754,29.4586181640625,8.814716339111328,1.5367560990853235e-05,15.601347923278809,0.3417072892189026,0.0,0.33185747265815735,101.71348571777344,1.5959282109179185e-06,6.069738388061523,0.8327844142913818,0.28103092312812805
12.55,77.35,165.02098772723866,0.0,0.01107139140367508,0.0,11.094124794006348,31.053678512573242,9.291996955871582,0.00011811958393082023,15.061017990112305,0.0,0.0,0.3498260974884033,89.9002685546875,7.557300250482513e-06,7.272997856140137,0.6811139583587646,0.3047659397125244
12.55,77.45,166.22271431030094,0.0,0.03937487676739693,0.05727432295680046,11.094124794006348,31.053678512573242,9.291996955871582,0.001831269939430058,15.061017990112305,0.6771318912506104,0.0,0.3498260974884033,89.9002685546875,8.505456935381517e-05,7.56237268447876,0.8096902966499329,0.3240410089492798
12.55,77.55,211.09240687756727,0.0,0.04427088424563408,0.003065328346565366,11.394436836242676,31.89429473876953,9.543527603149414,6.322154149529524e-06,23.370237350463867,0.33762672543525696,0.0,0.35929596424102783,129.94944763183594,7.42876807180437e-07,3.687030792236328,0.3534587621688843,0.1557071954011917
12.55,77.65,214.1983252258392,0.0,0.013701961375772953,0.0012771361507475376,11.394436836242676,31.89429473876953,9.543527603149414,0.00011682993499562144,23.370237350463867,0.8343765139579773,0.0,0.35929596424102783,129.94944763183594,5.7677275435708e-06,6.176509380340576,0.23411519825458527,0.4269823133945465
12.55,77.75,266.82790017125444,0.0,0.007842048071324825,0.00571994436904788,15.786201477050781,44.18733215332031,13.221896171569824,0.0005020966054871678,22.82769203186035,1.1332584619522095,0.0,0.4977795481681824,159.76780700683594,3.1604755349690095e-05,8.52575397491455,0.28216442465782166,0.5839192271232605
12.55,77.85,318.42900130154794,0.0,0.0,0.024319203570485115,20.177967071533203,56.480369567871094,16.90026092529297,0.00015149099635891616,22.2851505279541,0.42365261912345886,0.0,0.6362631916999817,189.586181640625,1.1645074664556887e-05,10.901651382446289,0.27635762095451355,0.7366644144058228
12.55,77.95,319.24437797482096,0.0,0.0,0.0029216043185442686,20.177967071533203,56.480369567871094,16.90026092529297,0.00047792421537451446,22.2851505279541,0.4615684151649475,0.0,0.6362631916999817,189.586181640625,3.6117118725087494e-05,11.617466926574707,0.30833640694618225,0.787377655506134
12.65,77.05,184.8659656043892,0.0,0.02388540469110012,0.0,9.954432487487793,27.863555908203125,8.33743667602539,0.0007783853798173368,16.141681671142578,0.841641902923584,0.0,0.313888818025589,113.52669525146484,5.172252713236958e-05,7.099309921264648,0.483257919549942,0.27934953570365906
12.65,77.15,185.03076684520784,0.0,0.017655840143561363,0.0,9.954432487487793,27.863555908203125,8.33743667602539,0.00030169301317073405,16.141681671142578,0.4769250154495239,0.0,0.313888818025589,113.52669525146484,2.3221677110996097e-05,7.118199825286865,0.9562498927116394,0.3237205445766449
12.65,77.25,174.80050621939154,0.0,0.01705103926360607,0.0,10.524277687072754,29.4586181640625,8.814716339111328,0.002011291915550828,15.601347923278809,0.5777818560600281,0.0,0.33185747265815735,101.71348571777344,0.00011410739534767345,6.599371910095215,0.8603747487068176,0.29949796199798584
12.65,77.35,167.03102282570444,0.0,0.01388832088559866,0.0030102122109383345,11.094124794006348,31.053678512573242,9.291996955871582,7.042903598630801e-05,15.061017990112305,0.586135745048523,0.0,0.3498260974884033,89.9002685546875,4.244135652697878e-06,8.549732208251953,0.7751869559288025,0.3520818054676056
12.65,77.45,166.39815111332064,0.0,0.011448599398136139,0.028487762436270714,11.094124794006348,31.053678512573242,9.291996955871582,0.0003052820102311671,15.061017990112305,0.39296627044677734,0.0,0.3498260974884033,89.9002685546875,3.9039721741573885e-05,8.218223571777344,0.6656951904296875,0.3300724923610687
12.65,77.55,215.63342733986337,0.0,0.05446319654583931,0.03504551947116852,11.394436836242676,31.89429473876953,9.543527603149414,4.748836363432929e-05,23.370237350463867,0.49235349893569946,0.0,0.35929596424102783,129.94944763183594,3.5474395190249197e-06,7.70899772644043,0.5314260125160217,0.2998502254486084
12.65,77.65,212.48216222707993,0.0,0.03143880143761635,0.0,11.394436836242676,31.89429473876953,9.543527603149414,2.0987239622627385e-05,23.370237350463867,0.6378760933876038,0.0,0.35929596424102783,129.94944763183594,2.5129800178547157e-06,4.869388103485107,0.25215718150138855,0.1800384223461151
12.65,77.75,267.78914800826897,0.0,0.005588015541434288,0.02995164506137371,15.786201477050781,44.18733215332031,13.221896171569824,0.00032616357202641666,22.82769203186035,1.2480888366699219,0.0,0.4977795481681824,159.76780700683594,3.277727955719456e-05,9.228607177734375,0.3506484031677246,0.6371966004371643
12.65,77.85,320.4951206160731,0.0,0.0,0.0029633042868226767,20.177967071533203,56.480369567871094,16.90026092529297,0.0004412229754962027,22.2851505279541,0.8119499683380127,0.0,0.6362631916999817,189.586181640625,3.412560545257293e-05,12.461103439331055,0.31071600317955017,0.8417196273803711
