lat,lon,HTAPv3_1_International_Shipping,HTAPv3_2_1_Domestic_Aviation,HTAPv3_2_2_International_Aviation,HTAPv3_3_Energy,HTAPv3_4_1_Industry,HTAPv3_4_2_Fugitive,HTAPv3_4_3_Solvents,HTAPv3_5_1_Road_Transport,HTAPv3_5_2_Brake_and_Tyre_wear,HTAPv3_5_3_Domestic_shipping,HTAPv3_5_4_Other_ground_transport,HTAPv3_6_Residential,HTAPv3_7_Waste,HTAPv3_8_1_Agricultural_waste_burning,HTAPv3_8_3_Agriculture_crops,total_co_emissions
12.55,77.05,0.0,0.3994055986404419,0.0,4.828684329986572,287.1357727050781,0.9785022735595703,0.0,262.77313232421875,0.0,0.0,0.818266749382019,1604.1494140625,0.0,242.51380920410156,0.0,2403.596987247467
12.55,77.15,0.0,0.0,0.0,4.828684329986572,287.1357727050781,0.9785022735595703,0.0,262.77313232421875,0.0,0.0,0.818266749382019,1604.1494140625,0.0,115.16073608398438,0.0,2275.8445085287094
12.55,77.25,0.0,0.08557656407356262,0.0,5.105104446411133,303.57293701171875,1.0345170497894287,0.0,254.1181182861328,0.0,0.0,0.865108847618103,1464.339599609375,0.0,88.61427307128906,0.0,2117.735234886408
12.55,77.35,0.0,0.1107139065861702,0.0,5.381524085998535,320.0101318359375,1.0905319452285767,0.0,245.46310424804688,0.0,0.0,0.9119510054588318,1324.529052734375,0.0,106.18180084228516,0.0,2003.6788106039166
12.55,77.45,0.0,0.3937488794326782,0.31500840187072754,5.381524085998535,320.0101318359375,1.0905319452285767,0.0,245.46310424804688,0.0,0.0,0.9119510054588318,1324.529052734375,0.0,110.40673065185547,0.0,2008.5017837882042
12.55,77.55,0.0,0.4427088499069214,0.016859279945492744,5.527200222015381,328.6728820800781,1.1200520992279053,0.0,366.612548828125,0.0,0.0,0.9366370439529419,1836.205810546875,0.0,53.83250427246094,0.0,2593.3672032225877
12.55,77.65,0.0,0.1370195895433426,0.007024213206022978,5.527200222015381,328.6728820800781,1.1200520992279053,0.0,366.612548828125,0.0,0.0,0.9366370439529419,1836.205810546875,0.0,81.2545394897461,0.0,2620.47371411277
12.55,77.75,0.0,0.07842046767473221,0.03145955875515938,7.657552242279053,455.35333251953125,1.5517545938491821,0.0,361.815673828125,0.0,0.0,1.2976456880569458,2287.552490234375,0.0,112.16171264648438,0.0,3227.5000417791307
12.55,77.85,0.0,0.0,0.13375559449195862,9.7879056930542,582.0338134765625,1.9834568500518799,0.0,357.018798828125,0.0,0.0,1.6586542129516602,2738.899169921875,0.0,143.41073608398438,0.0,3834.9262906610966
12.55,77.95,0.0,0.0,0.016068842262029648,9.7879056930542,582.0338134765625,1.9834568500518799,0.0,357.018798828125,0.0,0.0,1.6586542129516602,2738.899169921875,0.0,152.8309783935547,0.0,3844.228846218437
12.65,77.05,0.0,0.23885397613048553,0.0,4.828684329986572,287.1357727050781,0.9785022735595703,0.0,262.77313232421875,0.0,0.0,0.818266749382019,1604.1494140625,0.0,103.6454849243164,0.0,2264.568111345172
12.65,77.15,0.0,0.17655839025974274,0.0,4.828684329986572,287.1357727050781,0.9785022735595703,0.0,262.77313232421875,0.0,0.0,0.818266749382019,1604.1494140625,0.0,103.92353820800781,0.0,2264.7838690429926
12.65,77.25,0.0,0.17051036655902863,0.0,5.105104446411133,303.57293701171875,1.0345170497894287,0.0,254.1181182861328,0.0,0.0,0.865108847618103,1464.339599609375,0.0,96.34772491455078,0.0,2125.553620532155
12.65,77.35,0.0,0.13888318836688995,0.016556160524487495,5.381524085998535,320.0101318359375,1.0905319452285767,0.0,245.46310424804688,0.0,0.0,0.9119510054588318,1324.529052734375,0.0,124.82172393798828,0.0,2022.363459141925
12.65,77.45,0.0,0.11448598653078079,0.1566828340291977,5.381524085998535,320.0101318359375,1.0905319452285767,0.0,245.46310424804688,0.0,0.0,0.9119510054588318,1324.529052734375,0.0,119.98735809326172,0.0,2017.644822768867
12.65,77.55,0.0,0.544632077217102,0.1927499920129776,5.527200222015381,328.6728820800781,1.1200520992279053,0.0,366.612548828125,0.0,0.0,0.9366370439529419,1836.205810546875,0.0,112.54722595214844,0.0,2652.359738841653
12.65,77.65,0.0,0.3143880367279053,0.0,5.527200222015381,328.6728820800781,1.1200520992279053,0.0,366.612548828125,0.0,0.0,0.9366370439529419,1836.205810546875,0.0,71.09154510498047,0.0,2610.4810639619827
12.65,77.75,0.0,0.05588015913963318,0.16473360359668732,7.657552242279053,455.35333251953125,1.5517545938491821,0.0,361.815673828125,0.0,0.0,1.2976456880569458,2287.552490234375,0.0,121.40409088134766,0.0,3236.8531537503004
12.65,77.85,0.0,0.0,0.016298161819577217,9.7879056930542,582.0338134765625,1.9834568500518799,0.0,357.018798828125,0.0,0.0,1.6586542129516602,2738.899169921875,0.0,163.93069458007812,0.0,3855.328791724518
