lat,lon,HTAPv3_1_International_Shipping,HTAPv3_2_1_Domestic_Aviation,HTAPv3_2_2_International_Aviation,HTAPv3_3_Energy,HTAPv3_4_1_Industry,HTAPv3_4_2_Fugitive,HTAPv3_4_3_Solvents,HTAPv3_5_1_Road_Transport,HTAPv3_5_2_Brake_and_Tyre_wear,HTAPv3_5_3_Domestic_shipping,HTAPv3_5_4_Other_ground_transport,HTAPv3_6_Residential,HTAPv3_7_Waste,HTAPv3_8_1_Agricultural_waste_burning,HTAPv3_8_2_Agriculture_livestock,HTAPv3_8_3_Agriculture_crops,total_pm10_emissions
12.55,77.05,0.0,0.03994055464863777,0.0,17.003803253173828,46.609798431396484,10.42423152923584,0.0013819740852341056,16.35170555114746,1.1863068342208862,0.0,0.33333253860473633,119.69872283935547,0.000481263647088781,19.73517608642578,2.034264326095581,2.0691449642181396,235.48829014625517
12.55,77.15,0.0,0.0,0.0,17.003803253173828,46.609798431396484,10.42423152923584,0.00023087882436811924,16.35170555114746,0.0,0.0,0.33333253860473633,119.69872283935547,7.373578409897164e-05,8.312384605407715,5.009099960327148,0.5427197813987732,224.28610310465592
12.55,77.25,0.0,0.008557655848562717,0.0,17.97719383239746,49.27799987792969,11.02097225189209,1.5367560990853235e-05,15.804357528686523,0.6308296918869019,0.0,0.35241425037384033,107.96414184570312,1.0591188583930489e-05,6.396402359008789,4.894800186157227,0.44564908742904663,214.77334452606283
12.55,77.35,0.0,0.01107139140367508,0.0,18.95058250427246,51.94620132446289,11.617712020874023,0.00011811958393082023,15.256999969482422,0.0,0.0,0.3714959919452667,96.22954559326172,5.015303395339288e-05,7.664414405822754,3.9765841960906982,0.4833233058452606,206.50809897607905
12.55,77.45,0.0,0.03937487676739693,0.05727432295680046,18.95058250427246,51.94620132446289,11.617712020874023,0.001831269939430058,15.256999969482422,1.2477740049362183,0.0,0.3714959919452667,96.22954559326172,0.0005644535413011909,7.969361305236816,4.768464088439941,0.5138593316078186,208.9710410577245
12.55,77.55,0.0,0.04427088424563408,0.003065328346565366,19.46356773376465,53.35236358642578,11.932198524475098,6.322154149529524e-06,23.673044204711914,0.621699333190918,0.0,0.38155221939086914,137.01431274414062,4.9299960664939135e-06,3.885464906692505,2.051975965499878,0.2469383180141449,252.6704650010488
12.55,77.65,0.0,0.013701961375772953,0.0012771361507475376,19.46356773376465,53.35236358642578,11.932198524475098,0.00011682993499562144,23.673044204711914,1.5371019840240479,0.0,0.38155221939086914,137.01431274414062,3.8276761188171804e-05,6.5148138999938965,1.342775821685791,0.6764737963676453,255.90333871920302
12.55,77.75,0.0,0.007842048071324825,0.00571994436904788,26.965421676635742,73.91600036621094,16.531232833862305,0.0005020966054871678,23.123798370361328,2.0850000381469727,0.0,0.5286141633987427,169.2516632080078,0.00020974077051505446,8.992713928222656,1.626179814338684,0.9250891804695129,323.95998740947107
12.55,77.85,0.0,0.0,0.024319203570485115,34.4672737121582,94.47964477539062,21.130268096923828,0.00015149099635891616,22.574556350708008,0.7812996506690979,0.0,0.6756761074066162,201.48899841308594,7.728096534265205e-05,11.498758316040039,1.5888961553573608,1.1670233011245728,389.8769428543965
12.55,77.95,0.0,0.0,0.0029216043185442686,34.4672737121582,94.47964477539062,21.130268096923828,0.00047792421537451446,22.574556350708008,0.8521064519882202,0.0,0.6756761074066162,201.48899841308594,0.00023968680761754513,12.253763198852539,1.7798762321472168,1.2473677396774292,390.95317029368016
12.65,77.05,0.0,0.02388540469110012,0.0,17.003803253173828,46.609798431396484,10.42423152923584,0.0007783853798173368,16.35170555114746,1.5528010129928589,0.0,0.33333253860473633,119.69872283935547,0.0003432491794228554,7.481381893157959,2.792976140975952,0.44309717416763306,222.71685740345856
12.65,77.15,0.0,0.017655840143561363,0.0,17.003803253173828,46.609798431396484,10.42423152923584,0.00030169301317073405,16.35170555114746,0.8802879452705383,0.0,0.33333253860473633,119.69872283935547,0.00015410759078804404,7.501298427581787,5.6325836181640625,0.5133729577064514,224.96724873238418
12.65,77.25,0.0,0.01705103926360607,0.0,17.97719383239746,49.27799987792969,11.02097225189209,0.002011291915550828,15.804357528686523,1.0664607286453247,0.0,0.35241425037384033,107.96414184570312,0.000757258792873472,6.954543113708496,5.066495895385742,0.47494569420814514,215.97934460890247
12.65,77.35,0.0,0.01388832088559866,0.0030102122109383345,18.95058250427246,51.94620132446289,11.617712020874023,7.042903598630801e-05,15.256999969482422,1.0779495239257812,0.0,0.3714959919452667,96.22954559326172,2.8165557523607276e-05,9.009876251220703,4.541664123535156,0.5583750009536743,209.57739943162414
12.65,77.45,0.0,0.011448599398136139,0.028487762436270714,18.95058250427246,51.94620132446289,11.617712020874023,0.0003052820102311671,15.256999969482422,0.7244098782539368,0.0,0.3714959919452667,96.22954559326172,0.0002590811636764556,8.660524368286133,3.893988609313965,0.523481547832489,208.21544253299362
12.65,77.55,0.0,0.05446319654583931,0.03504551947116852,19.46356773376465,53.35236358642578,11.932198524475098,4.748836363432929e-05,23.673044204711914,0.9045012593269348,0.0,0.38155221939086914,137.01431274414062,2.354208118049428e-05,8.123893737792969,3.1062841415405273,0.4755917191505432,258.51688961718173
12.65,77.65,0.0,0.03143880143761635,0.0,19.46356773376465,53.35236358642578,11.932198524475098,2.0987239622627385e-05,23.673044204711914,1.1731852293014526,0.0,0.38155221939086914,137.01431274414062,1.6676998711773194e-05,5.131455898284912,1.455839991569519,0.28563621640205383,253.89463281414282
12.65,77.75,0.0,0.005588015541434288,0.02995164506137371,26.965421676635742,73.91600036621094,16.531232833862305,0.00032616357202641666,23.123798370361328,2.2951691150665283,0.0,0.5286141633987427,169.2516632080078,0.00021752157772425562,9.734070777893066,2.0279276371002197,1.0094746351242065,325.41945612941345
12.65,77.85,0.0,0.0,0.0029633042868226767,34.4672737121582,94.47964477539062,21.130268096923828,0.0004412229754962027,22.574556350708008,1.4925161600112915,0.0,0.6756761074066162,201.48899841308594,0.00022646998695563525,13.143606185913086,1.7898718118667603,1.3334550857543945,392.579497696468
12.65,77.95,0.0,0.0,0.0,34.4672737121582,94.47964477539062,21.130268096923828,0.0002578131970949471,22.574556350708008,0.9025470614433289,0.0,0.6756761074066162,201.48899841308594,0.0002521499991416931,12.89440631866455,1.9918440580368042,1.3158419132232666,391.9215667702374
12.75,77.05,0.0,0.022650478407740593,0.0,14.099530220031738,38.648780822753906,8.643757820129395,0.00013280379062052816,19.974224090576172,0.6140473484992981,0.0,0.2763988673686981,99.25402069091797,4.8428526497446e-05,9.3266019821167,1.4865241050720215,0.837857723236084,193.18457538142684
12.75,77.15,0.0,0.0,0.0027359400410205126,14.099530220031738,38.648780822753906,8.643757820129395,1.8340999304200523e-05,19.974224090576172,0.3495084047317505,0.0,0.2763988673686981,99.25402069091797,9.904309081321117e-06,7.509700298309326,3.844871759414673,0.46946558356285095,193.07302274314588
12.75,77.25,0.0,0.006721056532114744,0.0028261796105653048,16.347352981567383,70.32323455810547,10.021795272827148,0.0012078413274139166,24.626258850097656,2.3276889324188232,0.0,0.3204638957977295,105.78424072265625,0.0003738264786079526,6.957592964172363,5.767091751098633,0.49836498498916626,242.98521381767932
12.75,77.35,0.0,0.024138836190104485,0.0,18.59517478942871,101.99768829345703,11.39983081817627,0.00040005662594921887,29.278297424316406,0.9354192614555359,0.0,0.3645288944244385,112.3144760131836,0.00019321560102980584,8.524184226989746,4.739100456237793,0.5415017604827881,288.7149340465694
12.75,77.45,0.0,0.020167196169495583,0.0,18.59517478942871,101.99768829345703,11.39983081817627,0.0004578221996780485,29.278297424316406,0.5047688484191895,0.0,0.3645288944244385,112.3144760131836,0.00023990038607735187,9.028874397277832,3.490079641342163,0.5238174200057983,287.5184014587867
12.75,77.55,0.0,0.054336365312337875,0.05955277010798454,159.57192993164062,590.4860229492188,97.82604217529297,0.00044264720054343343,86.14263916015625,0.5148424506187439,0.0,3.1281535625457764,287.5871276855469,0.00014062919944990426,8.027276039123535,1.8887282609939575,0.48807239532470703,1235.7753070222825
12.75,77.65,0.0,0.050256114453077316,0.00307039194740355,159.57192993164062,590.4860229492188,97.82604217529297,0.0008275001891888678,86.14263916015625,2.0529141426086426,0.0,3.1281535625457764,287.5871276855469,0.0005384255782701075,6.28292179107666,3.8098556995391846,0.45503169298171997,1237.3973312227754
12.75,77.75,0.0,0.0,0.03045719861984253,97.53494262695312,343.8954162597656,59.794090270996094,0.000763787655159831,54.92375183105469,1.78174889087677,0.0,1.9120171070098877,238.53775024414062,0.0004362515464890748,8.45034122467041,3.2574236392974854,0.5578319430351257,810.6769712756213
12.75,77.85,0.0,0.0,0.0,35.497947692871094,97.30484771728516,21.76212501525879,0.0029330081306397915,23.704851150512695,1.3448891639709473,0.0,0.6958808302879333,189.48838806152344,0.0012617160100489855,12.745676040649414,1.5001801252365112,1.2863227128982544,385.3353032346349
12.75,77.95,0.0,0.0,0.0,35.497947692871094,97.30484771728516,21.76212501525879,0.00016632939514238387,23.704851150512695,0.7188383340835571,0.0,0.6958808302879333,189.48838806152344,0.00010862989438464865,12.682437896728516,2.120795965194702,1.3034193515777588,385.27980697461317
12.85,77.05,0.0,0.015551998279988766,0.0030419637914747,11.195253372192383,30.687761306762695,6.863284587860107,0.0002973147784359753,23.59674072265625,1.5051729679107666,0.0,0.21946515142917633,78.80928802490234,9.427930490346625e-05,8.743773460388184,0.6021252274513245,0.766891598701477,163.0087419764095
12.85,77.15,0.0,0.012171118520200253,0.0005777903716079891,11.195253372192383,30.687761306762695,6.863284587860107,3.9174279663711786e-05,23.59674072265625,1.6733978986740112,0.0,0.21946515142917633,78.80928802490234,1.9524239178281277e-05,8.808561325073242,3.355499505996704,0.5202623009681702,165.74232180392573
12.85,77.25,0.0,0.004296516068279743,0.0,14.717514038085938,91.36848449707031,9.022616386413574,5.31176647200482e-06,33.448158264160156,1.2516939640045166,0.0,0.2885134816169739,103.6043472290039,6.030479653418297e-06,8.423940658569336,5.9414520263671875,0.5748682022094727,268.6458966058158
12.85,77.35,0.0,0.0017673358088359237,0.0,18.239776611328125,152.0491943359375,11.1819486618042,0.00015135639114305377,43.29957962036133,0.8300849199295044,0.0,0.35756176710128784,128.39938354492188,5.547815817408264e-05,9.430715560913086,4.87883996963501,0.6630754470825195,369.3321346093726
12.85,77.45,0.0,0.012516840361058712,0.002927519613876939,18.239776611328125,152.0491943359375,11.1819486618042,9.918185241986066e-05,43.29957962036133,2.9551331996917725,0.0,0.35756176710128784,128.39938354492188,9.198972111335024e-05,8.019381523132324,4.095816612243652,0.5547240376472473,369.1681354457178
12.85,77.55,0.0,0.0184966791421175,0.024990001693367958,299.6803283691406,1127.6197509765625,183.71987915039062,0.00023136980598792434,148.6122283935547,5.705046653747559,0.0,5.874754905700684,438.1600036621094,0.0001882631768239662,8.174529075622559,3.5255041122436523,0.5450953841209412,2221.6610269970115
12.85,77.65,0.0,0.09895966202020645,0.06929665058851242,299.6803283691406,1127.6197509765625,183.71987915039062,0.0015443339943885803,148.6122283935547,6.330164909362793,0.0,5.874754905700684,438.1600036621094,0.0010552859166637063,8.70652961730957,3.1478402614593506,0.5652381181716919,2222.5875742962817
